{'input_dim': 25, 'out_classes': 2, 'num_hidden_layers': 2, 'hidden_layer_width': np.int64(32), 'dropout': 0.1, 'activation': 'relu', 'dataset': 'dataset_000_beta_0.7943282347242815_active_3_version0', 'L_true': 0.11999223501444567, 'model_score': 0.06291190285926662, 'nll': 0.9370302878687067, 'efficiency': 0.5242997836626075, 'f1': 0.6274993828684275}
{'input_dim': 25, 'out_classes': 2, 'num_hidden_layers': 2, 'hidden_layer_width': np.int64(48), 'dropout': 0.1, 'activation': 'relu', 'dataset': 'dataset_000_beta_0.7943282347242815_active_3_version0', 'L_true': 0.11999223501444567, 'model_score': 0.06427636071370812, 'nll': 0.9357084175611371, 'efficiency': 0.5356710015941448, 'f1': 0.606670195870831}
{'input_dim': 25, 'out_classes': 2, 'num_hidden_layers': 2, 'hidden_layer_width': np.int64(64), 'dropout': 0.1, 'activation': 'relu', 'dataset': 'dataset_000_beta_0.7943282347242815_active_3_version0', 'L_true': 0.11999223501444567, 'model_score': 0.06349126422811158, 'nll': 0.9364155123633643, 'efficiency': 0.529128107501856, 'f1': 0.6317635270541083}
{'input_dim': 25, 'out_classes': 2, 'num_hidden_layers': 2, 'hidden_layer_width': np.int64(80), 'dropout': 0.1, 'activation': 'relu', 'dataset': 'dataset_000_beta_0.7943282347242815_active_3_version0', 'L_true': 0.11999223501444567, 'model_score': 0.07059423380825836, 'nll': 0.9292499224742155, 'efficiency': 0.5883233510881736, 'f1': 0.6387355745107878}
{'input_dim': 25, 'out_classes': 2, 'num_hidden_layers': 2, 'hidden_layer_width': np.int64(96), 'dropout': 0.1, 'activation': 'relu', 'dataset': 'dataset_000_beta_0.7943282347242815_active_3_version0', 'L_true': 0.11999223501444567, 'model_score': 0.06936234318226142, 'nll': 0.9306070851671847, 'efficiency': 0.5780569315498707, 'f1': 0.6093096234309623}
{'input_dim': 25, 'out_classes': 2, 'num_hidden_layers': 2, 'hidden_layer_width': np.int64(112), 'dropout': 0.1, 'activation': 'relu', 'dataset': 'dataset_000_beta_0.7943282347242815_active_3_version0', 'L_true': 0.11999223501444567, 'model_score': 0.0507871550082738, 'nll': 0.94906394632421, 'efficiency': 0.42325367972485567, 'f1': 0.6244704709693496}
{'input_dim': 25, 'out_classes': 2, 'num_hidden_layers': 2, 'hidden_layer_width': np.int64(128), 'dropout': 0.1, 'activation': 'relu', 'dataset': 'dataset_000_beta_0.7943282347242815_active_3_version0', 'L_true': 0.11999223501444567, 'model_score': 0.0016137927674824137, 'nll': 0.9982868243205312, 'efficiency': 0.013449143332384231, 'f1': 0.6182088811709253}
{'input_dim': 25, 'out_classes': 2, 'num_hidden_layers': 2, 'hidden_layer_width': np.int64(144), 'dropout': 0.1, 'activation': 'relu', 'dataset': 'dataset_000_beta_0.7943282347242815_active_3_version0', 'L_true': 0.11999223501444567, 'model_score': 0.024266080392897127, 'nll': 0.9756526208108618, 'efficiency': 0.2022304225767257, 'f1': 0.6184677828513444}
{'input_dim': 25, 'out_classes': 2, 'num_hidden_layers': 2, 'hidden_layer_width': np.int64(160), 'dropout': 0.1, 'activation': 'relu', 'dataset': 'dataset_000_beta_0.7943282347242815_active_3_version0', 'L_true': 0.11999223501444567, 'model_score': 0.0, 'nll': 1.0142405232737226, 'efficiency': 0.0, 'f1': 0.6199447375031399}
{'input_dim': 25, 'out_classes': 2, 'num_hidden_layers': 2, 'hidden_layer_width': np.int64(176), 'dropout': 0.1, 'activation': 'relu', 'dataset': 'dataset_000_beta_0.7943282347242815_active_3_version0', 'L_true': 0.11999223501444567, 'model_score': 0.02401842946519417, 'nll': 0.9759495093267698, 'efficiency': 0.20016653129515113, 'f1': 0.6155408836973083}
{'input_dim': 25, 'out_classes': 2, 'num_hidden_layers': 2, 'hidden_layer_width': np.int64(192), 'dropout': 0.1, 'activation': 'relu', 'dataset': 'dataset_000_beta_0.7943282347242815_active_3_version0', 'L_true': 0.11999223501444567, 'model_score': 0.04269420861472284, 'nll': 0.957233275451889, 'efficiency': 0.3558080954953706, 'f1': 0.607161664033702}
{'input_dim': 25, 'out_classes': 2, 'num_hidden_layers': 2, 'hidden_layer_width': np.int64(208), 'dropout': 0.1, 'activation': 'relu', 'dataset': 'dataset_000_beta_0.7943282347242815_active_3_version0', 'L_true': 0.11999223501444567, 'model_score': 0.005961600575123516, 'nll': 0.9938125858244912, 'efficiency': 0.04968321970505682, 'f1': 0.6219956300072833}
{'input_dim': 25, 'out_classes': 2, 'num_hidden_layers': 2, 'hidden_layer_width': np.int64(224), 'dropout': 0.1, 'activation': 'relu', 'dataset': 'dataset_000_beta_0.7943282347242815_active_3_version0', 'L_true': 0.11999223501444567, 'model_score': 0.0, 'nll': 1.0288247068176803, 'efficiency': 0.0, 'f1': 0.5971166448230668}
{'input_dim': 25, 'out_classes': 2, 'num_hidden_layers': 2, 'hidden_layer_width': np.int64(240), 'dropout': 0.1, 'activation': 'relu', 'dataset': 'dataset_000_beta_0.7943282347242815_active_3_version0', 'L_true': 0.11999223501444567, 'model_score': 0.0, 'nll': 1.0235042786544575, 'efficiency': 0.0, 'f1': 0.6227749329431845}
