{'input_dim': 25, 'out_classes': 2, 'num_hidden_layers': 2, 'hidden_layer_width': 32, 'dropout': 0.1, 'activation': 'relu', 'dataset': 'dataset_000_beta_0.6309573444801932_active_3_version0', 'L_true': 0.0827298009088514, 'temperature': 1.2701820135116577, 'f1': 0.6141607000795546, 'model_score': 0.058306267580396476, 'efficiency': 0.7047794983168899, 'nll': 0.9404256225585937, 'model_score_raw': 0.0584606380574485, 'efficiency_raw': 0.7066454580479197, 'nll_raw': 0.9402714599609375}
{'input_dim': 25, 'out_classes': 2, 'num_hidden_layers': 2, 'hidden_layer_width': 64, 'dropout': 0.1, 'activation': 'relu', 'dataset': 'dataset_000_beta_0.6309573444801932_active_3_version0', 'L_true': 0.0827298009088514, 'temperature': 1.4920496940612793, 'f1': 0.6155088852988692, 'model_score': 0.04949704135482502, 'efficiency': 0.5982976002729538, 'nll': 0.9503607788085937, 'model_score_raw': 0.03906181342167592, 'efficiency_raw': 0.47216133717900227, 'nll_raw': 0.9607944458007812}
{'input_dim': 25, 'out_classes': 2, 'num_hidden_layers': 2, 'hidden_layer_width': 96, 'dropout': 0.1, 'activation': 'relu', 'dataset': 'dataset_000_beta_0.6309573444801932_active_3_version0', 'L_true': 0.0827298009088514, 'temperature': 1.7105803489685059, 'f1': 0.5936507936507937, 'model_score': 0.03124283995041388, 'efficiency': 0.37764916157402667, 'nll': 0.96875537109375, 'model_score_raw': 0.008223864336943776, 'efficiency_raw': 0.0994063112276134, 'nll_raw': 0.9917743041992187}
{'input_dim': 25, 'out_classes': 2, 'num_hidden_layers': 2, 'hidden_layer_width': 128, 'dropout': 0.1, 'activation': 'relu', 'dataset': 'dataset_000_beta_0.6309573444801932_active_3_version0', 'L_true': 0.0827298009088514, 'temperature': 2.437164783477783, 'f1': 0.6279434850863423, 'model_score': 0.042116347478899474, 'efficiency': 0.5090831479855934, 'nll': 0.9577403686523438, 'model_score_raw': 0.008882299055485099, 'efficiency_raw': 0.10736516899480132, 'nll_raw': 0.9909694458007813}
{'input_dim': 25, 'out_classes': 2, 'num_hidden_layers': 2, 'hidden_layer_width': 160, 'dropout': 0.1, 'activation': 'relu', 'dataset': 'dataset_000_beta_0.6309573444801932_active_3_version0', 'L_true': 0.0827298009088514, 'temperature': 2.0170648097991943, 'f1': 0.5933384972889233, 'model_score': 0.03700966319154453, 'efficiency': 0.4473558836714764, 'nll': 0.9628462890625, 'model_score_raw': 0.0016438749959745147, 'efficiency_raw': 0.019870409186475313, 'nll_raw': 0.998206787109375}
{'input_dim': 25, 'out_classes': 2, 'num_hidden_layers': 2, 'hidden_layer_width': 192, 'dropout': 0.1, 'activation': 'relu', 'dataset': 'dataset_000_beta_0.6309573444801932_active_3_version0', 'L_true': 0.0827298009088514, 'temperature': 2.7451531887054443, 'f1': 0.5223048327137547, 'model_score': 0.02388435885572271, 'efficiency': 0.2887032072280411, 'nll': 0.9752430297851562, 'model_score_raw': 0.0, 'efficiency_raw': 0.0, 'nll_raw': 1.0595740234375}
{'input_dim': 25, 'out_classes': 2, 'num_hidden_layers': 2, 'hidden_layer_width': 256, 'dropout': 0.1, 'activation': 'relu', 'dataset': 'dataset_000_beta_0.6309573444801932_active_3_version0', 'L_true': 0.0827298009088514, 'temperature': 2.530688762664795, 'f1': 0.5524861878453039, 'model_score': 0.012599475577816266, 'efficiency': 0.15229669888481778, 'nll': 0.9873713500976562, 'model_score_raw': 0.0, 'efficiency_raw': 0.0, 'nll_raw': 1.0884206909179688}
{'input_dim': 25, 'out_classes': 2, 'num_hidden_layers': 2, 'hidden_layer_width': 320, 'dropout': 0.1, 'activation': 'relu', 'dataset': 'dataset_000_beta_0.6309573444801932_active_3_version0', 'L_true': 0.0827298009088514, 'temperature': 3.5087244510650635, 'f1': 0.553469387755102, 'model_score': 0.022703763495199314, 'efficiency': 0.27443271041125156, 'nll': 0.977150048828125, 'model_score_raw': 0.0, 'efficiency_raw': 0.0, 'nll_raw': 1.087252880859375}
{'input_dim': 25, 'out_classes': 2, 'num_hidden_layers': 2, 'hidden_layer_width': 384, 'dropout': 0.1, 'activation': 'relu', 'dataset': 'dataset_000_beta_0.6309573444801932_active_3_version0', 'L_true': 0.0827298009088514, 'temperature': 3.919431686401367, 'f1': 0.5765625, 'model_score': 0.025192677704908184, 'efficiency': 0.30451756716620815, 'nll': 0.9744544677734375, 'model_score_raw': 0.0, 'efficiency_raw': 0.0, 'nll_raw': 1.16584140625}
{'input_dim': 25, 'out_classes': 2, 'num_hidden_layers': 2, 'hidden_layer_width': 512, 'dropout': 0.1, 'activation': 'relu', 'dataset': 'dataset_000_beta_0.6309573444801932_active_3_version0', 'L_true': 0.0827298009088514, 'temperature': 5.9729719161987305, 'f1': 0.5245628642797668, 'model_score': 0.01513266678842129, 'efficiency': 0.1829167557781735, 'nll': 0.9834409912109375, 'model_score_raw': 0.0, 'efficiency_raw': 0.0, 'nll_raw': 1.2267655517578124}
{'input_dim': 25, 'out_classes': 2, 'num_hidden_layers': 2, 'hidden_layer_width': 640, 'dropout': 0.1, 'activation': 'relu', 'dataset': 'dataset_000_beta_0.6309573444801932_active_3_version0', 'L_true': 0.0827298009088514, 'temperature': 6.169185638427734, 'f1': 0.5811320754716982, 'model_score': 0.016158020575207432, 'efficiency': 0.1953107634455658, 'nll': 0.9836602905273437, 'model_score_raw': 0.0, 'efficiency_raw': 0.0, 'nll_raw': 1.300603271484375}
{'input_dim': 25, 'out_classes': 2, 'num_hidden_layers': 2, 'hidden_layer_width': 768, 'dropout': 0.1, 'activation': 'relu', 'dataset': 'dataset_000_beta_0.6309573444801932_active_3_version0', 'L_true': 0.0827298009088514, 'temperature': 6.291989326477051, 'f1': 0.4764595103578154, 'model_score': 0.012363134260411912, 'efficiency': 0.149439913121913, 'nll': 0.9852718872070313, 'model_score_raw': 0.0, 'efficiency_raw': 0.0, 'nll_raw': 1.433192138671875}
